date,AONIA,CALL_RATE,CHINA_FR001,CORRA,EONIA,ESTER,FFER,NOWA,SARON,SONIA
1999-01-01,,,,,,,4.07,,,
1999-01-02,,,,,,,4.07,,,
1999-01-03,,,,,,,4.07,,,
1999-01-04,,0.25,,5.0454,3.2,,5.04,,,5.87
1999-01-05,,0.24,,5.0155,3.2,,4.54,,,5.7075
1999-01-06,,0.2,,5.0499,3.21,,4.23,,,5.9969
1999-01-07,,0.21,,5.1904,3.21,,4.49,,,6.1644
1999-01-08,,0.2,,5.0299,3.21,,4.74,,,6.0579
1999-01-09,,,,,,,4.74,,,
1999-01-10,,,,,,,4.74,,,
1999-01-11,,0.21,,5.0708,3.2,,5.17,,,5.9405
1999-01-12,,0.22,,5.0411,3.19,,4.78,,,5.8322
1999-01-13,,0.23,,5.0713,3.18,,4.62,,,5.7514
1999-01-14,,0.18,,5.0815,3.16,,4.82,,,5.7995
1999-01-15,,,,5.1686,3.1,,4.68,,,5.8743
1999-01-16,,,,,,,4.68,,,
1999-01-17,,,,,,,4.68,,,
1999-01-18,,0.23,,5.0779,3.02,,4.68,,,5.8293
1999-01-19,,0.23,,4.9706,2.98,,4.55,,,6.147
1999-01-20,,0.23,,4.9626,3.01,,4.41,,,6.1331
1999-01-21,,0.22,,5.1237,3.03,,4.36,,,5.9009
1999-01-22,,0.23,,4.9584,3.07,,4.62,,,6.2909
1999-01-23,,,,,,,4.62,,,
1999-01-24,,,,,,,4.62,,,
1999-01-25,,0.23,,5.0778,3.14,,4.97,,,5.9302
1999-01-26,,0.24,,5.0631,3.22,,4.84,,,5.9369
1999-01-27,,0.25,,5.0321,3.13,,4.61,,,5.8535
1999-01-28,,0.24,,5.0374,3.12,,4.8,,,5.9152
1999-01-29,,0.24,,5.214,3.16,,4.79,,,6.9125
1999-01-30,,,,,,,4.79,,,
1999-01-31,,,,,,,4.79,,,
1999-02-01,,0.26,,5.059,3.17,,4.86,,,6.9777
1999-02-02,,0.24,,5.0659,3.18,,4.56,,,7.1554
1999-02-03,,0.23,,5.0668,3.18,,4.65,,,7.0211
1999-02-04,,0.24,,5.0796,3.17,,4.88,,,5.778
1999-02-05,,0.24,,5.0068,3.15,,4.76,,,5.1908
1999-02-06,,,,,,,4.76,,,
1999-02-07,,,,,,,4.76,,,
1999-02-08,,0.24,,5.023,3.15,,4.85,,,5.2312
1999-02-09,,0.25,,4.9906,3.13,,4.73,,,5.6458
1999-02-10,,0.26,,5.0009,3.12,,4.66,,,5.3485
1999-02-11,,,,5.0282,3.1,,4.73,,,5.7352
1999-02-12,,0.28,,5.0219,3.08,,4.68,,,5.8296
1999-02-13,,,,,,,4.68,,,
1999-02-14,,,,,,,4.68,,,
1999-02-15,,0.12,,5.0461,3.06,,4.68,,,5.5055
1999-02-16,,0.1,,5.0335,3.04,,5.09,,,5.3216
1999-02-17,,0.08,,5.0138,3.03,,4.73,,,5.3874
1999-02-18,,0.11,,5.0379,3.02,,4.71,,,5.4418
1999-02-19,,0.11,,5.0132,3.03,,4.72,,,5.2462
1999-02-20,,,,,,,4.72,,,
1999-02-21,,,,,,,4.72,,,
1999-02-22,,0.12,,5.0264,3.05,,4.78,,,5.3275
1999-02-23,,0.13,,5.0258,3.34,,4.73,,,5.5352
1999-02-24,,0.12,,5.02,3.13,,4.88,,,5.5762
1999-02-25,,0.12,,5.0446,3.11,,4.89,,,5.9355
1999-02-26,,0.1,,5.0867,3.12,,4.84,,,6.1965
