country_name,country_name_2,region,country_code,currency,capital_city,most_recent_GDP_USD (m),GDP_USD (2023) (m),GDP_USD (2022) (m),population_size (2023) (m),,
Algeria,,Africa,DZA,DZD,Algiers,239899.49,239899.49,225560.26,45.61,,
Angola,,Africa,AGO,AOA,Luanda,84722.96,84722.96,104399.75,36.68,,
Benin,,Africa,BEN,XOF,Porto-Novo,19673.28,19673.28,17425.42,13.71,,
Botswana,,Africa,BWA,BWP,Gaborone,19395.77,19395.77,20321.96,2.68,,
Burkina Faso,,Africa,BFA,XOF,Ouagadougou,20324.62,20324.62,18820.22,23.25,,
Burundi,,Africa,BDI,BIF,Gitega,2642.16,2642.16,3338.72,13.24,,
Cabo Verde,,Africa,CPV,CVE,Praia,2587.25,2587.25,2303.74,0.60,,
Cameroon,,Africa,CMR,XAF,Yaounde,47945.51,47945.51,43644.07,28.65,,
Central African Republic,,Africa,CAF,XAF,Bangui,2555.49,2555.49,2382.62,5.74,,
Chad,,Africa,TCD,XAF,N'Djamena,13149.33,13149.33,12396.81,18.28,,
Comoros,,Africa,COM,KMF,Moroni,1352.38,1352.38,1242.52,0.85,,
Democratic Republic of the Congo,"Congo, Dem. Rep.",Africa,COD,CDF,Kinshasa,66383.29,66383.29,65801.55,102.26,,
Republic of the Congo,"Congo, Rep.",Africa,COG,XAF,Brazzaville,15321.06,15321.06,15817.03,6.11,,
Djibouti,,Africa,DJI,DJF,Djibouti,4098.53,4098.53,3674.30,1.14,,
Egypt,"Egypt, Arab Rep.",Africa,EGY,EGP,Cairo,395926.08,395926.08,476747.72,112.72,,
Equatorial Guinea,,Africa,GNQ,XAF,Malabo,12116.92,12116.92,13486.79,1.71,,
Eritrea,,Africa,ERI,ERN,Asmara,0.00,0.00,0.00,3.75,,
Eswatini,,Africa,SWZ,SZL,Mbabane,4597.86,4597.86,4790.92,1.21,,
Ethiopia,,Africa,ETH,ETB,Addis Ababa,163697.93,163697.93,126772.70,126.53,,
Gabon,,Africa,GAB,XAF,Libreville,20516.13,20516.13,21071.74,2.44,,
Gambia,"Gambia, The",Africa,GMB,GMD,Banjul,2339.90,2339.90,2175.10,2.77,,
Ghana,,Africa,GHA,GHS,Accra,76370.39,76370.39,74263.36,34.12,,
Guinea,,Africa,GIN,GNF,Conakry,23612.30,23612.30,20999.23,14.19,,
Guinea-Bissau,,Africa,GNB,XOF,Bissau,1966.46,1966.46,1714.17,2.15,,
Ivory Coast,Cote d'Ivoire,Africa,CIV,XOF,Yamoussoukro,78788.83,78788.83,70173.14,28.87,,
Kenya,,Africa,KEN,KES,Nairobi,107440.58,107440.58,113419.83,55.10,,
Lesotho,,Africa,LSO,LSL,Maseru,2046.04,2046.04,2289.36,2.33,,
Liberia,,Africa,LBR,LRD,Monrovia,4332.00,4332.00,4001.05,5.42,,
Libya,,Africa,LBY,LYD,Tripoli,50491.72,50491.72,55938.73,6.89,,
Madagascar,,Africa,MDG,MGA,Antananarivo,16031.70,16031.70,15302.51,30.33,,
Malawi,,Africa,MWI,MWK,Lilongwe,14084.34,14084.34,13129.46,20.93,,
Mali,,Africa,MLI,XOF,Bamako,20904.90,20904.90,18780.32,23.29,,
Mauritania,,Africa,MRT,MRU,Nouakchott,10452.58,10452.58,9744.04,4.86,,
Mauritius,,Africa,MUS,MUR,Port Louis,14397.13,14397.13,12927.98,1.26,,
Morocco,,Africa,MAR,MAD,Rabat,141109.37,141109.37,130912.56,37.84,,
Mozambique,,Africa,MOZ,MZN,Maputo,20624.60,20624.60,18406.84,33.90,,
Namibia,,Africa,NAM,NAD,Windhoek,12351.02,12351.02,12567.27,2.60,,
Niger,,Africa,NER,XOF,Niamey,16819.17,16819.17,15433.85,27.20,,
Nigeria,,Africa,NGA,NGN,Abuja,362814.95,362814.95,472624.60,223.80,,
Rwanda,,Africa,RWA,RWF,Kigali,14097.77,14097.77,13316.16,14.09,,
Sao Tome and Principe,,Africa,STP,STN,Sao Tome,603.24,603.24,542.69,0.23,,
Senegal,,Africa,SEN,XOF,Dakar,31013.99,31013.99,27619.48,17.76,,
Seychelles,,Africa,SYC,SCR,Victoria,2141.45,2141.45,2057.97,0.12,,
Sierra Leone,,Africa,SLE,SLL,Freetown,3809.83,3809.83,4094.56,8.79,,
Somalia,,Africa,SOM,SOS,Mogadishu,11679.80,11679.80,10419.54,18.14,,
South Africa,,Africa,ZAF,ZAR,Pretoria,377781.60,377781.60,405270.85,60.41,,
South Sudan,,Africa,SSD,SSP,Juba,0.00,0.00,0.00,11.09,,
Sudan,,Africa,SDN,SDG,Khartoum,109327.02,109327.02,51666.88,48.11,,
Tanzania,,Africa,TZA,TZS,Dodoma,79158.29,79158.29,75769.97,67.44,,
Togo,,Africa,TGO,XOF,Lome,9171.26,9171.26,8169.48,9.05,,
Tunisia,,Africa,TUN,TND,Tunis,48529.60,48529.60,44579.76,12.46,,
Uganda,,Africa,UGA,UGX,Kampala,49272.88,49272.88,45565.33,48.58,,
Zambia,,Africa,ZMB,ZMW,Lusaka,28162.63,28162.63,29163.78,20.57,,
Zimbabwe,,Africa,ZWE,ZWL,Harare,26538.27,26538.27,27366.63,16.67,,
Afghanistan,,Asia,AFG,AFN,Kabul,14502.16,0.00,14502.16,42.24,,
Armenia,,Asia,ARM,AMD,Yerevan,24212.13,24212.13,19513.47,2.78,,
Azerbaijan,,Asia,AZE,AZN,Baku,72356.18,72356.18,78807.47,10.11,,
