date,AONIA,CALL_RATE,CHINA_FR001,CORRA,EONIA,ESTER,FFER,NOWA,SARON,SONIA
2019-10-08,0.75,-0.012,2.65,1.7466,-0.467,-0.552,1.82,1.5,-0.74,0.7107
2019-10-09,0.75,-0.012,2.22,1.7438,-0.467,-0.552,1.82,1.5,-0.74,0.7112
2019-10-10,0.75,-0.011,2.04,1.744,-0.467,-0.552,1.82,1.5,-0.74,0.7115
2019-10-11,0.75,-0.01,1.91,1.7507,-0.465,-0.55,1.82,1.5,-0.74,0.7108
2019-10-15,0.75,-0.009,2.73,1.7572,-0.466,-0.551,1.9,1.5,-0.74,0.7111
2019-10-16,0.75,-0.051,2.72,1.7435,-0.463,-0.548,1.9,1.5,-0.74,0.7109
2019-10-17,0.75,-0.045,2.6,1.7366,-0.463,-0.548,1.85,1.5,-0.74,0.7107
2019-10-18,0.75,-0.031,2.63,1.7442,-0.462,-0.547,1.85,1.49,-0.74,0.7101
2019-10-21,0.75,-0.019,2.7,1.7468,-0.464,-0.549,1.85,1.5,-0.74,0.7111
2019-10-23,0.75,-0.014,2.67,1.7447,-0.462,-0.547,1.85,1.49,-0.74,0.7124
2019-10-24,0.75,-0.013,2.46,1.7443,-0.463,-0.548,1.85,1.51,-0.74,0.7108
2019-10-25,0.75,-0.014,2.52,1.7553,-0.463,-0.548,1.83,1.54,-0.74,0.7097
2019-10-28,0.75,-0.016,2.49,1.7579,-0.463,-0.548,1.83,1.54,-0.74,0.7106
2019-10-29,0.75,-0.021,2.38,1.7482,-0.46,-0.545,1.82,1.5,-0.73,0.7107
2019-10-30,0.75,-0.024,2.31,1.7414,-0.46,-0.545,1.82,1.5,-0.74,0.7107
2019-10-31,0.75,-0.03,2.61,1.7619,-0.458,-0.543,1.58,1.52,-0.73,0.7106
2019-11-01,0.75,-0.024,2.31,1.7668,-0.464,-0.549,1.57,1.5,-0.64,0.7119
2019-11-05,0.75,-0.027,1.9,1.75,-0.456,-0.541,1.56,1.49,-0.66,0.7105
2019-11-06,0.75,-0.031,1.8,1.7371,-0.454,-0.539,1.55,1.49,-0.66,0.7115
2019-11-07,0.75,-0.038,1.92,1.7303,-0.452,-0.537,1.55,1.49,-0.66,0.7108
2019-11-08,0.75,-0.05,1.91,1.746,-0.455,-0.54,1.55,1.5,-0.67,0.71
2019-11-12,0.75,-0.07,2.4,1.7448,-0.452,-0.537,1.55,1.5,-0.68,0.7103
2019-11-13,0.75,-0.072,2.6,1.7394,-0.446,-0.531,1.55,1.5,-0.68,0.7109
2019-11-14,0.75,-0.074,2.68,1.7465,-0.451,-0.536,1.55,1.5,-0.69,0.7091
2019-11-15,0.75,-0.063,2.72,1.7498,-0.456,-0.541,1.55,1.5,-0.69,0.7085
2019-11-18,0.75,-0.058,2.72,1.745,-0.456,-0.541,1.55,1.5,-0.69,0.7099
2019-11-19,0.75,-0.054,2.35,1.7411,-0.457,-0.542,1.55,1.5,-0.7,0.7106
2019-11-20,0.75,-0.047,1.91,1.7311,-0.426,-0.511,1.55,1.49,-0.7,0.7108
2019-11-21,0.75,-0.039,1.86,1.7394,-0.457,-0.542,1.55,1.5,-0.7,0.7107
2019-11-22,0.75,-0.03,1.96,1.7411,-0.451,-0.536,1.55,1.49,-0.7,0.7104
2019-11-25,0.75,-0.027,2.24,1.7362,-0.448,-0.533,1.55,1.49,-0.71,0.7097
2019-11-26,0.75,-0.018,2.33,1.7467,-0.448,-0.533,1.55,1.49,-0.71,0.7097
2019-11-27,0.75,-0.023,2.24,1.7488,-0.448,-0.533,1.55,1.49,-0.71,0.7105
2019-11-28,0.75,-0.024,2.1,1.75,-0.446,-0.531,1.55,1.5,-0.71,0.71
2019-11-29,0.75,-0.034,2.4,1.7466,-0.447,-0.532,1.56,1.51,-0.71,0.7123
2019-12-02,0.75,-0.031,2.25,1.7519,-0.456,-0.541,1.56,1.5,-0.71,0.7091
2019-12-03,0.75,-0.028,2.15,1.7498,-0.454,-0.539,1.55,1.49,-0.7,0.7092
2019-12-04,0.75,-0.025,2.0,1.7474,-0.455,-0.54,1.55,1.49,-0.7,0.7091
2019-12-05,0.75,-0.017,1.93,1.7484,-0.455,-0.54,1.55,1.5,-0.7,0.7097
2019-12-06,0.75,-0.009,2.08,1.7473,-0.456,-0.541,1.55,1.49,-0.7,0.7086
2019-12-09,0.75,-0.008,2.35,1.7456,-0.456,-0.541,1.55,1.49,-0.71,0.7095
2019-12-10,0.75,-0.008,2.21,1.7424,-0.459,-0.544,1.55,1.49,-0.71,0.7103
2019-12-11,0.75,-0.008,2.1,1.7473,-0.459,-0.544,1.55,1.51,-0.71,0.7098
2019-12-12,0.75,-0.009,2.06,1.7467,-0.459,-0.544,1.55,1.5,-0.71,0.7104
2019-12-13,0.75,-0.008,2.14,1.7523,-0.458,-0.543,1.55,1.49,-0.7,0.7113
2019-12-16,0.75,-0.053,2.45,1.755,-0.458,-0.543,1.56,1.5,-0.7,0.7111
2019-12-17,0.75,-0.057,2.52,1.7573,-0.451,-0.536,1.55,1.5,-0.71,0.7104
2019-12-18,0.75,-0.06,2.5,1.7552,-0.455,-0.54,1.55,1.49,-0.71,0.7106
2019-12-19,0.75,-0.061,2.07,1.7504,-0.455,-0.54,1.55,1.5,-0.7,0.7113
2019-12-20,0.75,-0.061,1.83,1.7458,-0.455,-0.54,1.55,1.5,-0.71,0.7108
2019-12-23,0.75,-0.059,1.57,1.731,-0.46,-0.545,1.55,1.49,-0.7,0.7102
2019-12-27,0.75,-0.051,1.1,1.7482,-0.457,-0.542,1.55,1.5,-0.7,0.71
2019-12-30,0.75,-0.068,1.21,1.7416,-0.456,-0.541,1.55,1.49,-0.68,0.7107
2020-01-06,0.75,-0.061,1.02,1.7453,-0.454,-0.539,1.55,1.49,-0.7,0.7124
2020-01-07,0.75,-0.064,1.23,1.7441,-0.455,-0.54,1.55,1.49,-0.7,0.712
2020-01-08,0.75,-0.061,1.57,1.7419,-0.451,-0.536,1.55,1.49,-0.7,0.7124
2020-01-09,0.75,-0.052,1.7,1.7475,-0.454,-0.539,1.55,1.49,-0.71,0.7123
2020-01-10,0.75,-0.035,1.78,1.745,-0.453,-0.538,1.54,1.49,-0.71,0.7117
2020-01-14,0.75,-0.028,2.54,1.7432,-0.453,-0.538,1.54,1.49,-0.71,0.7111
2020-01-15,0.75,-0.016,2.67,1.7259,-0.453,-0.538,1.54,1.49,-0.71,0.7125
2020-01-16,0.75,-0.042,2.63,1.7409,-0.451,-0.536,1.54,1.49,-0.71,0.7117
2020-01-17,0.75,-0.023,2.52,1.7436,-0.452,-0.537,1.55,1.49,-0.71,0.712
2020-01-20,0.75,-0.018,2.26,1.7438,-0.453,-0.538,1.55,1.49,-0.71,0.7117
2020-01-21,0.75,-0.018,1.9,1.7462,-0.45,-0.535,1.55,1.49,-0.71,0.7117
2020-01-22,0.75,-0.018,1.57,1.7441,-0.451,-0.536,1.55,1.49,-0.71,0.7117
2020-01-23,0.75,-0.018,2.45,1.7467,-0.452,-0.537,1.55,1.49,-0.71,0.7104
2020-02-03,0.75,-0.033,2.51,1.7606,-0.452,-0.537,1.59,1.49,-0.71,0.7104
2020-02-04,0.75,-0.023,2.3,1.7503,-0.451,-0.536,1.59,1.49,-0.71,0.7104
2020-02-05,0.75,-0.015,2.11,1.7506,-0.451,-0.536,1.59,1.49,-0.71,0.7107
2020-02-06,0.75,-0.016,1.87,1.7409,-0.45,-0.535,1.59,1.49,-0.71,0.7107
2020-02-07,0.75,-0.014,1.85,1.7476,-0.452,-0.537,1.58,1.49,-0.71,0.7112
2020-02-10,0.75,-0.01,1.68,1.7456,-0.452,-0.537,1.58,1.49,-0.71,0.7095
